eps,min_samples,n_clusters,n_noise,noise_pct,silhouette_score,davies_bouldin_score,calinski_harabasz_score
1.403,3,43,1183,39.43,-0.2071,1.0919,8.69
1.403,5,5,1554,51.8,-0.0597,1.1662,7.81
1.403,8,3,1864,62.13,0.0763,1.1861,9.55
1.403,10,1,2029,67.63,,,
1.403,15,1,2285,76.17,,,
1.403,20,1,2502,83.4,,,
2.105,3,2,121,4.03,0.3773,0.7129,15.87
2.105,5,1,159,5.3,,,
2.105,8,1,198,6.6,,,
2.105,10,1,236,7.87,,,
2.105,15,1,317,10.57,,,
2.105,20,1,386,12.87,,,
2.807,3,1,4,0.13,,,
2.807,5,1,5,0.17,,,
2.807,8,1,7,0.23,,,
2.807,10,1,8,0.27,,,
2.807,15,1,18,0.6,,,
2.807,20,1,22,0.73,,,
3.508,3,1,0,0.0,,,
3.508,5,1,0,0.0,,,
3.508,8,1,0,0.0,,,
3.508,10,1,0,0.0,,,
3.508,15,1,0,0.0,,,
3.508,20,1,0,0.0,,,
4.21,3,1,0,0.0,,,
4.21,5,1,0,0.0,,,
4.21,8,1,0,0.0,,,
4.21,10,1,0,0.0,,,
4.21,15,1,0,0.0,,,
4.21,20,1,0,0.0,,,
5.263,3,1,0,0.0,,,
5.263,5,1,0,0.0,,,
5.263,8,1,0,0.0,,,
5.263,10,1,0,0.0,,,
5.263,15,1,0,0.0,,,
5.263,20,1,0,0.0,,,
7.017,3,1,0,0.0,,,
7.017,5,1,0,0.0,,,
7.017,8,1,0,0.0,,,
7.017,10,1,0,0.0,,,
7.017,15,1,0,0.0,,,
7.017,20,1,0,0.0,,,
